강화 동막해변 | 인천 | 강화군 화도면 동막리 (해안남로)
선유도해수욕장(명사십리) | 전라 | 군산시 옥도면 선유도리 (고군산군도, 새만금 고군산연결도로)
신지 명사십리해수욕장 | 전라 | 완도군 신지면 신리·대곡리 일원 (신지대교 건너)
증도 짱뚱어해변·짱뚱어다리 | 전라 | 신안군 증도면 문준경길 459-2 (우전해변과 연결)
고사포해수욕장 | 전라 | 부안군 변산면 운산리 (변산해안도로변)
만성리 검은모래해변 | 전라 | 여수시 만흥동 (마래터널 지나 바로)
방죽포해수욕장 | 전라 | 여수시 돌산읍 방죽포 (돌산도 동쪽 해안)
웅천해변(웅천친수공원) | 전라 | 여수시 웅천동
광안리해수욕장 | 경상 | 부산 수영구 광안동~민락동
남해 설리해수욕장·설리스카이워크 | 경상 | 남해군 미조면 송정리 1029-13 일원
다대포해수욕장 | 경상 | 부산 사하구 다대동
상주은모래비치 | 경상 | 남해군 상주면 상주리
송정해수욕장 | 경상 | 부산 해운대구 송정동
울진 후포 등기산 스카이워크·후포해변 | 경상 | 울진군 후포면 후포리 (등기산공원 일원)
진하해수욕장 | 경상 | 울산 울주군 서생면 진하리
통영 달아공원 | 경상 | 통영시 산양읍 미남리 (산양일주도로변)
포항 영일대해수욕장·스페이스워크 | 경상 | 포항시 북구 두호동 (영일대해수욕장~환호공원)
포항 월포해수욕장 | 경상 | 포항시 북구 청하면 해안로2308번길
학동몽돌해변 | 경상 | 거제시 동부면 학동리
해운대해수욕장 | 경상 | 부산 해운대구 우1동·중1동
거제 여차몽돌해변 | 경상 | 거제시 남부면 여차길 22 (다포리, 여차-홍포 해안도로)
구조라해수욕장 | 경상 | 거제시 일운면 구조라리
금능해수욕장 | 제주 | 제주시 한림읍 금능리
김녕성세기해변 | 제주 | 제주시 구좌읍 김녕리
월정리해변 | 제주 | 제주시 구좌읍 월정리
이호테우해변 | 제주 | 제주시 이호일동
중문색달해수욕장 | 제주 | 서귀포시 색달동 (중문관광단지 내)
표선해수욕장 | 제주 | 서귀포시 표선면 표선리
함덕해수욕장 | 제주 | 제주시 조천읍 함덕리
협재해수욕장 | 제주 | 제주시 한림읍 협재리
세화해변 | 제주 | 제주시 구좌읍 세화리
