국립수목원(광릉숲) | 경기북부 | 포천시 소흘읍 직동리
국립무형유산원 | 전라 | 전주시 완산구 동서학동 (서학로 95)
국립아시아문화전당(ACC) | 전라 | 광주 동구 광산동 (문화전당로)
목포 해양유물전시관 (국립해양유산연구소) | 전라 | 목포시 용해동 (남농로 136)
순천 드라마촬영장 | 전라 | 순천시 조례동 (비례골길 24)
순천만국가정원 | 전라 | 순천시 풍덕동·오천동
아쿠아플라넷 여수 | 전라 | 여수시 수정동 (오동도로 61-11)
군산근대역사박물관 | 전라 | 군산시 장미동 (해망로 240)
여수 해상케이블카 | 전라 | 여수시 종화동(자산공원)~돌산
전주한옥마을 | 전라 | 전주시 완산구 교동·풍남동 일대 (기린대로 99 주변)
감천문화마을 | 경상 | 부산 사하구 감천동
경주 동궁과 월지 | 경상 | 경주시 인왕동
국립경주박물관 | 경상 | 경주시 인왕동 (일정로 186)
국립해양박물관 | 경상 | 부산 영도구 동삼동 (해양로301번길 45)
대구미술관 | 경상 | 대구 수성구 삼덕동 (미술관로 40)
안동 하회마을 | 경상 | 안동시 풍천면 (종가길 40)
장생포 고래박물관·고래문화마을 | 경상 | 울산 남구 매암동 (장생포로 244)
통영 디피랑 | 경상 | 통영시 동호동 (남망공원길, 남망산조각공원)
포항 스페이스워크 | 경상 | 포항시 북구 환호동 (환호공원길 30, 환호공원)
해운대 블루라인파크(스카이캡슐·해변열차) | 경상 | 부산 해운대구 중동(미포)~송정
빛의 벙커 | 제주 | 서귀포시 성산읍 (서성일로1168번길 89-17)
아르떼뮤지엄 제주 | 제주 | 제주시 애월읍 어음리
노형수퍼마켙 | 제주 | 제주시 노형동 (노형로 89 일대)
본태박물관 | 제주 | 서귀포시 안덕면 (산록남로762번길 69)
아쿠아플라넷 제주 | 제주 | 서귀포시 성산읍 고성리 (섭지코지)
제주항공우주박물관 | 제주 | 서귀포시 안덕면 (녹차분재로 218)
카멜리아힐 | 제주 | 서귀포시 안덕면 (병악로 166)
