아쿠아필드 고양 | 경기북부 | 경기 고양시 덕양구 고양대로 1955, 스타필드 고양 4층
덕산 스파뷰호텔(야외 히노끼탕) | 충청 | 충남 예산군 덕산면 덕산온천단지
수안보온천 족욕길 (물탕공원) | 충청 | 충주시 수안보면 온천리 일원
수안보파크호텔 온천 | 충청 | 충주시 수안보면 (수안보온천지구)
스플라스 리솜 (덕산온천) | 충청 | 예산군 덕산면 (온천단지3로 45-7)
온양온천 족욕탕 (온양온천역·전통시장) | 충청 | 아산시 온천동 (온양온천역 교각 아래 / 온양온천전통시장 입구)
제천 포레스트 리솜 해브나인 스파 | 충청 | 충북 제천시 백운면 금봉로 365
초정약수 세종스파텔 | 충청 | 청주시 청원구 내수읍 초정리 (초정약수 원탕지구)
파라다이스 스파도고 | 충청 | 아산시 도고면 (도고온천로 176)
무주 덕유산리조트 야외노천탕 | 전라 | 전북 무주군 설천면 만선로 185
진안홍삼스파 | 전라 | 전북 진안군 진안읍 외사양길 16-10
금호화순리조트 아쿠아나 | 전라 | 화순군 백아면 (옥리길 14-21)
도곡 원네스 스파·리조트 | 전라 | 전남 화순군 도곡면 온천1길 45(도곡온천단지)
보성 율포해수녹차센터 | 전라 | 전남 보성군 회천면 우암길 21
석정온천 휴스파 | 전라 | 고창군 고창읍 (석정2로 173, 웰파크시티)
신안 증도 엘도라도리조트 오션스파랜드 | 전라 | 전남 신안군 증도면 (엘도라도리조트 내)
지리산온천랜드 | 전라 | 구례군 산동면 (지리산온천로 261, 지리산온천지구)
쿰다스파랜드 | 전라 | 김제시 (상동로 166)
군산 더해수온천 | 전라 | 전북 군산시 해망로 631 (소룡동)
덕구온천 스파월드 | 경상 | 울진군 북면 (덕구온천리조트)
스파랜드 센텀시티 | 경상 | 부산 해운대구 (신세계백화점 센텀시티점 내)
클럽디 오아시스 (해운대 엘시티) | 경상 | 부산 해운대구 달맞이길 30, 엘시티 3~6층
허심청 (동래온천) | 경상 | 부산 동래구 온천장로 137 (호텔농심)
가조 백두산천지온천 | 경상 | 경남 거창군 가조면 (가조온천관광지)
경주 코오롱호텔 온천사우나 | 경상 | 경북 경주시 불국로 289-17
마금산원탕 보양온천 | 경상 | 경남 창원시 의창구 북면 천주로 1167
문경 STX리조트 스파 산토리니 | 경상 | 문경시 농암면 (청화로 509)
백암스프링스호텔 온천 (백암온천) | 경상 | 울진군 온정면 (백암온천관광특구)
부곡스파디움 (부곡온천) | 경상 | 창녕군 부곡면 (부곡온천지구)
소노벨 청송 솔샘온천 | 경상 | 청송군 주왕산면 (소노로 38)
스파밸리 | 경상 | 대구 달성군 가창면 (가창로 891)
청도 용암온천 | 경상 | 경북 청도군 화양읍(청도프로방스 앞)
산방산탄산온천 | 제주 | 서귀포시 안덕면 (사계북로41번길 192)
제주허브동산 황금족욕 | 제주 | 제주 서귀포시 표선면 돈오름로 170
히든클리프 호텔 앤 네이처 인피니티풀 & 릴스파 | 제주 | 제주 서귀포시 예래해안로 542
WE호텔 제주 웰니스 수영장 & 스파 | 제주 | 제주 서귀포시 1100로 453-95
도두해수파크 | 제주 | 제주 제주시 서해안로 236 (도두일동)
디아넥스호텔 온천 | 제주 | 제주 서귀포시 안덕면 (핀크스 일대, 포도호텔 별관)
오레브 핫스프링 앤 스파 | 제주 | 서귀포시 (오레브 리조트 내)
제주 드림타워 찜질스파 (그랜드 하얏트 제주) | 제주 | 제주 제주시 노연로 12, 제주 드림타워 L6층
제주 신화워터파크 | 제주 | 제주 서귀포시 안덕면 신화역사로304번길 38 (제주신화월드)
