스타필드 고양 | 경기북부 | 고양시 덕양구 동산동 (고양대로 1955)
트리플스트리트 (송도) | 인천 | 인천 연수구 송도동 (송도과학로16번길 33-3)
롯데프리미엄아울렛 기흥점 | 경기남부 | 경기 용인시 기흥구 (신고매로 124)
모란민속5일장 | 경기남부 | 경기 성남시 중원구 (둔촌대로 68, 성남동)
스타필드 수원 & 별마당도서관 | 경기남부 | 경기 수원시 장안구 (수성로 175, 정자동)
스타필드 하남 | 경기남부 | 하남시 신장동 (미사대로 750)
안성맞춤시장 & 안성 5일장 | 경기남부 | 경기 안성시 (시장길 17, 안성중앙시장 일대)
수원 행리단길 (행궁동) | 경기남부 | 수원시 팔달구 행궁동 (신풍로·화서문로 일대)
신세계사이먼 여주 프리미엄 아울렛 | 경기남부 | 여주시 상거동 (명품로 360)
이천 예스파크 (도자예술마을) | 경기남부 | 이천시 신둔면 (도자예술로 일대)
봉평장 (봉평재래시장) | 강원 | 강원 평창군 (봉평면 창동리 일대)
양양 전통시장 & 양양 5일장 | 강원 | 강원 양양군 (양양읍 남문리 시장 일대)
정선 아리랑시장 (정선 5일장) | 강원 | 정선군 정선읍 봉양리 (5일장길 37-10)
강릉 중앙시장 | 강원 | 강릉시 성남동 (금성로 21)
속초 관광수산시장 | 강원 | 속초시 중앙동 (중앙로147번길 12)
원주 미로예술시장 | 강원 | 강원 원주시 (중앙로 63, 원주중앙시장 2층)
춘천 명동거리 & 낭만시장 | 강원 | 춘천시 조양동 (금강로62번길 일대)
대전 은행동 스카이로드 & 성심당 거리 | 충청 | 대전 중구 은행동 (중앙로164번길 일대)
아산 지중해마을 | 충청 | 충남 아산시 (탕정면 탕정면로8번길 55-7)
예산시장 (백종원 시장) | 충청 | 예산군 예산읍 (형제고개로 967)
청주 육거리종합시장 | 충청 | 충북 청주시 상당구 (청남로2197번길 41 일대)
강경 젓갈시장 | 충청 | 충남 논산시 (강경읍 젓갈시장 일원)
공주 제민천 골목 (하숙마을 일대) | 충청 | 공주시 반죽동 (당간지주길·제민천길 일대)
제천 역전한마음시장(내토시장) & 제천약초시장 | 충청 | 충북 제천시 (내토로 576 일대)
1913송정역시장 | 전라 | 광주 광산구 송정동 (송정로8번길 13)
광주 대인예술시장 | 전라 | 광주 동구 (제봉로194번길 일대)
담양장(죽물시장) & 국수거리 | 전라 | 전남 담양군 (담양읍 천변리 뚝방길·관방제림 일원)
목포 자유시장 & 남진야시장 | 전라 | 전남 목포시 (목포역 인근 자유시장 일대)
순천 아랫장 | 전라 | 전남 순천시 (풍덕동 동천변 일대)
여수 교동시장 & 낭만포차 | 전라 | 전남 여수시 (중앙로 16 일대, 여수항 옆)
전주 남부시장 & 야시장 | 전라 | 전주시 완산구 전동 (풍남문2길 63)
광주 양림동 펭귄마을 공예거리 | 전라 | 광주 남구 양림동 (천변좌로446번길 7)
군산 시간여행마을 (월명동·초원사진관) | 전라 | 군산시 월명동·신흥동 일대 (구영길 근처)
대구 서문시장 & 서문야시장 | 경상 | 대구 중구 대신동 (큰장로26길 45)
부산 국제시장 | 경상 | 부산 중구 (신창동 일대, 국제시장길)
부산 영도 흰여울문화마을 | 경상 | 부산 영도구 (영선동4가 흰여울길 일대)
부산 자갈치시장 | 경상 | 부산 중구 (자갈치해안로 52)
부평깡통시장 & 깡통야시장 | 경상 | 부산 중구 부평동 (부평1길 48)
안동 구시장 찜닭골목 | 경상 | 경북 안동시 (번영1길 47 일대)
통영 중앙시장 | 경상 | 경남 통영시 (항남동 통영항 앞)
경주 황리단길 | 경상 | 경주시 황남동 (포석로 일대)
대구 방천시장 & 김광석다시그리기길 | 경상 | 대구 중구 대봉동 (달구벌대로450길 일대)
부산 전포카페거리 | 경상 | 부산진구 전포동 (전포대로209번길 일대)
포항 죽도시장 | 경상 | 경북 포항시 북구 (죽도시장13길 일대)
대정(모슬포)오일시장 | 제주 | 제주 서귀포시 대정읍 신영로36번길 65
서귀포 이중섭거리 & 문화예술디자인시장 | 제주 | 제주 서귀포시 (이중섭로 일원, 이중섭미술관 앞)
제주 동문재래시장 & 야시장 | 제주 | 제주시 일도1동 (관덕로14길 20)
제주민속오일시장 | 제주 | 제주 제주시 (오일장서길 26)
중문향토오일시장 | 제주 | 제주 서귀포시 천제연로188번길 12
한림민속오일시장 | 제주 | 제주 제주시 한림읍 한수풀로4길 10
누웨마루거리 (구 바오젠거리) | 제주 | 제주 제주시 신광로 47 (연동)
서귀포 매일올레시장 | 제주 | 서귀포시 서귀동 (중앙로62번길 18)
서귀포향토오일시장 | 제주 | 제주 서귀포시 중산간동로 7894
세화민속오일시장 & 세화해변 소품샵거리 | 제주 | 제주시 구좌읍 세화리 (해녀박물관 인근·세화해변 앞)
