골든트리 | 경기북부 | 가평군 가평읍 금대리 (북한강변로 326-124)
신기산업 | 경상 | 부산 영도구 청학동
커피명가 경주양남점 | 경상 | 경주시 양남면 (동해안로 440, 주상절리 인근)
헤이마 (HEIMA) | 경상 | 대구 동구 (파계로 583)
새빌 | 제주 | 제주시 애월읍 봉성리 (새별오름 앞)
오설록 티뮤지엄 | 제주 | 서귀포시 안덕면 서광리
원앤온리 | 제주 | 서귀포시 안덕면 사계리 (산방산 앞)
인스밀 | 제주 | 서귀포시 (대정읍 일과대수로27번길 22)
델문도 | 제주 | 제주시 조천읍 함덕 (함덕해수욕장 앞)
봄날카페 | 제주 | 제주시 애월읍 한담해변
카페 아오오 | 제주 | 서귀포시 성산읍 신산리 (환해장성로 75)
