반구정나루터집 | 경기북부 | 파주시 문산읍 (반구정)
별채반 교동쌈밥 | 경상 | 경주시 황남동 (첨성로 77, 첨성대 도보 10분)
옛집식당 | 경상 | 대구 중구 (달성공원로6길 48-5, 서문시장 인근)
원산면옥 | 경상 | 부산 중구 남포동 (광복로 56-8, 광복동 골목)
가시아방국수 | 제주 | 서귀포시 성산읍 (섭지코지로 10)
네거리식당 | 제주 | 서귀포시 서귀동 (서문로29번길 20, 아랑조을거리)
돈사돈 본점 | 제주 | 제주시 노형동 (제주공항 차로 10~15분)
명진전복 | 제주 | 제주시 구좌읍 평대리 (바다 바로 앞)
수우동 | 제주 | 제주시 한림읍 (협재1길 11, 협재해변 앞)
숙성도 제주본점 | 제주 | 제주시 (제원길 30, 2~3층)
올래국수 | 제주 | 제주시 (귀아랑길 24)
우진해장국 | 제주 | 제주시 서사로 (제주공항 차로 약 10분)
천짓골식당 | 제주 | 서귀포시 (중앙로41번길 4)
만민식당 | 제주 | 제주시 (한림읍 중산간서로 4618-1)
