고성 안녕바다카라반펜션 | 강원 | 고성군 죽왕면 (천학정길 65-1)
경주 황리단길 한옥스테이 다가감 | 경상 | 경주시 황남동 (첨성로99번길 22-2)
아난티 남해 | 경상 | 남해군 남면 덕월리 (남서대로1179번길 40-109)
파라다이스 호텔 부산 | 경상 | 부산 해운대구 중동 (해운대해변로 296)
파크 하얏트 부산 | 경상 | 부산 해운대구 우동 (마린시티1로 51)
프래밀리 풀빌라 & 호텔 | 경상 | 거제시 일운면 와현리 (거제대로 2308)
한화리조트 거제 벨버디어 | 경상 | 거제시 장목면 (거제북로 2501-40)
한화리조트 경주 | 경상 | 경주시 (보문로 182-27) — 보문관광단지 내
강동리조트 · 강동워터파크 (구 블루원 경주 리조트·워터파크) | 경상 | 경주시 천군동 (천군로 92-32)
경주 라궁 한옥호텔 | 경상 | 경주시 보문로 일대 (신라밀레니엄파크 내)
금호통영마리나리조트 | 경상 | 통영시 (큰발개1길 33)
사우스케이프 스파 & 스위트 | 경상 | 남해군 창선면 흥선로 1545
아난티 앳 부산 코브 (아난티 코브) | 경상 | 부산 기장군 기장읍 (기장해안로 268-31)
안동 전통리조트 구름에 | 경상 | 안동시 성곡동 (안동민속촌·월영교 인근)
에덴밸리리조트 | 경상 | 양산시 원동면 (어실로) — 부산·울산 근교
그랜드 하얏트 제주 | 제주 | 제주시 노형동 (노연로 12, 제주 드림타워)
롯데호텔 제주 | 제주 | 서귀포시 (중문관광로72번길 35, 색달동) — 중문관광단지
제주신화월드 | 제주 | 서귀포시 안덕면 (신화역사로304번길 98 일대, 신화역사공원 내)
휘닉스 제주 섭지코지 | 제주 | 서귀포시 성산읍 고성리 (섭지코지로 93-66)
히든클리프 호텔 앤 네이처 | 제주 | 서귀포시 예래동 (예래 생태보전지역, 중문 인근)
더포레스트 유수암 | 제주 | 제주시 애월읍 유수암리 (유수암로1길 43-8)
파르나스 호텔 제주 | 제주 | 서귀포시 중문관광단지 (중문색달해변 인접, 구 하얏트리젠시 제주 자리)
포도호텔 | 제주 | 서귀포시 안덕면 산록남로 일대 (핀크스 골프클럽 내)
푸르다오션펜션 | 제주 | 제주시 한림읍 월령리 (월령3길 39-5, 월령 선인장마을)
풀빌라 소랑 | 제주 | 제주시 조천읍 대흘리
한화리조트 제주 | 제주 | 제주시 (명림로 575-107) — 제주공항 차로 20~30분
해녹 | 제주 | 서귀포시 성산읍 신산리 (환해장성로121번길 16)
해비치 호텔&리조트 제주 | 제주 | 서귀포시 표선면 (민속해안로 537)
